index,category,raw_category_x,nyuId,nyu40id,eigen13id,nyuClass,nyu40class,eigen13class,ModelNet40,ModelNet10,ShapeNetCore55,synsetoffset,wnsynsetid,wnsynsetkey,mpcat40index,mpcat40_x,raw_category_y,mpcat40_y
762,globe stand,globe stand,466.0,40,7.0,globe stand,otherprop,Objects,,,,,,,40.0,misc,globe stand,misc
763,gloves,glove,729.0,40,,glove,otherprop,,,,,,,,,objects,,objects
764,glue,glue,,40,,,otherprop,,,,,,,,,objects,,objects
765,goalpost,goal,,40,,,otherprop,,,,,,,,,objects,,objects
766,golf sticks,golf sticks,,40,,,otherprop,,,,,,,,,objects,,objects
767,grab bar,grab bar,,38,,,otherstructure,,,,,,,,,misc,,misc
768,gramophone,gramophone,,40,,,otherprop,,,,,,,,,objects,,objects
769,grandfather clock,grandfather clock,462.0,39,6.0,grandfather clock,otherfurniture,Furniture,,,clock,3046257.0,n03452594,grandfather_clock.n.01,39.0,objects,grandfather clock,objects
770,grass,grass,82.0,40,7.0,plant,otherprop,Objects,plant,,,,n12102133,grass.n.01,14.0,plant,grass,plant
771,grate,grate,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,grate,misc
772,gravel,gravel,578.0,40,,stones,otherprop,,,,,,,,,floor,,floor
773,grill,grill,700.0,38,7.0,grill,otherstructure,Objects,,,,,n03459591,grill.n.02,40.0,misc,grill,misc
774,groceries,groceries,407.0,40,,lunch bag,otherprop,,,,,,,,,objects,,objects
775,guitar,guitar,300.0,40,7.0,guitar,otherprop,Objects,guitar,,guitar,3467517.0,n03467517,guitar.n.01,39.0,objects,guitar,objects
776,guitar case,guitar case,771.0,40,,guitar case,otherprop,,,,,,,,,objects,,objects
777,guitar case cover,guitar case suit,771.0,40,,guitar case,otherprop,,,,,,,,,objects,,objects
778,guitar cases,guitar cases,771.0,40,,guitar case,otherprop,,,,,,,,,objects,,objects
779,guitar frame,guitar frame,771.0,40,,guitar case,otherprop,,,,,,,,,objects,,objects
780,guitar pedals,guitar pedals,300.0,40,,guitar,otherprop,,,,,,,,,objects,,objects
781,guitar stand,guitar stand,771.0,40,,guitar case,otherprop,,,,,,,,,objects,,objects
782,guitar straps,guitar straps,300.0,40,,guitar,otherprop,,,,,,,,,objects,,objects
783,gun,gun,,40,,,otherprop,,,,,,,,,objects,,objects
784,gutter,gutter,,38,,,otherstructure,,,,,,,,,misc,,misc
785,gym equipment,gym equipment,457.0,39,6.0,excercise equipment,otherfurniture,Furniture,,,,,n04285146,sports_equipment.n.01,33.0,gym_equipment,gym equipment,gym_equipment
786,gym mat,gym mat,205.0,20,,yoga mat,floor mat,,,,,,,,,floor,,floor
787,gym rope,gym rope,560.0,40,,rope,otherprop,,,,,,,,,objects,,objects
788,gym stepper,gym stepper,558.0,40,,excercise machine,otherprop,,,,,,,,,objects,,objects
789,hair brush,hairbrush,120.0,40,,hair brush,otherprop,,,,,,,,,objects,,objects
790,hair dryer,hair dryer,577.0,40,,hair dryer,otherprop,,,,,,,,,objects,,objects
791,hammer,hammer,883.0,40,,hammer,otherprop,,,,,,,,,objects,,objects
792,hammock,hammock,157.0,4,1.0,bed,bed,Bed,bed,bed,bed,2818832.0,n03482252,hammock.n.02,11.0,bed,hammock,bed
793,hand cloth,handcloth,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,hand cloth,misc
794,hand dryer,hand drier,,40,,,otherprop,,,,,,,,,objects,,objects
795,hand soap,hand soap,133.0,40,7.0,soap,otherprop,Objects,,,,,n04253437,soap.n.01,39.0,objects,hand soap,objects
796,hand towel,hand towel,135.0,27,,towel,towel,,,,,,,,,objects,,objects
797,handbag,handbag,,40,7.0,,otherprop,Objects,,,,,n02774152,bag.n.04,39.0,objects,handbag,objects
798,handcart,hand cart,305.0,40,,cart,otherprop,,,,,,,,,objects,,objects
799,handkerchiefs,handkerchiefs,244.0,40,,napkin,otherprop,,,,,,,,,objects,,objects
800,handle,handle,758.0,40,7.0,handle,otherprop,Objects,,,,,n03485997,handle.n.01,39.0,objects,handle,objects
801,handrail,handrail,453.0,38,7.0,banister,otherstructure,Objects,,,,,n02788148,bannister.n.02,30.0,railing,handrail,railing
802,hanger,hanger,211.0,40,7.0,hanger,otherprop,Objects,,,,,n03490884,hanger.n.02,39.0,objects,hanger,objects
803,hanging clothes,hanging clothes,141.0,21,7.0,clothes,clothes,Objects,,,,,n02728440,apparel.n.01,38.0,clothes,hanging clothes,clothes
804,hat,hat,193.0,40,7.0,hat,otherprop,Objects,,,,,n03497657,hat.n.01,38.0,clothes,hat,clothes
805,hatch,hatch,,38,,,otherstructure,,,,,,,,,misc,,misc
806,hats,hats,193.0,40,7.0,hat,otherprop,Objects,,,,,,,,objects,,objects
807,headboard,headboard,161.0,39,6.0,headboard,otherfurniture,Furniture,,,,,n03502200,headboard.n.01,11.0,bed,headboard,bed
808,headphones,headphones,160.0,40,,headphones,otherprop,,,,,,,,,objects,,objects
809,headset,headset,160.0,40,,headphones,otherprop,,,,,,,,,objects,,objects
810,hearth,hearth,372.0,38,7.0,fireplace,otherstructure,Objects,,,,,,,40.0,misc,hearth,misc
811,heater,heater,111.0,39,6.0,heater,otherfurniture,Furniture,,,,,n03508101,heater.n.01,39.0,objects,heater,objects
812,heater piping,heater piping,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,heater  piping,misc
813,hi-hat,hi hat,193.0,40,7.0,hat,otherprop,Objects,,,,,,,,objects,,objects
814,hi-hat stand,hi hat stand,50.0,40,,stand,otherprop,,,,,,,,,objects,,objects
815,high shelf,high shelf,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,high shelf,misc
816,highchair,highchair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03518445,highchair.n.01,3.0,chair,high chair,chair
817,holder,holder,,40,,,otherprop,,,,,,,,,objects,,objects
818,hole puncher,puncher,61.0,40,,hole puncher,otherprop,,,,,,,,,objects,,objects
819,holy cross,holy cross,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,holy cross,misc
820,hook,hook,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,hook,misc
821,hose,hose,,40,7.0,,otherprop,Objects,,,,,n03539875,hose.n.03,40.0,misc,garden hose,misc
822,hot water/cold water knob,hot water/cold water knob,652.0,40,7.0,knob,otherprop,Objects,,,,,,,40.0,misc,hot water/cold water knob,misc
823,hourglass,hourglass,,40,,,otherprop,,,,,,,,,objects,,objects
824,hoverboard,hoverboard,,40,,,otherprop,,,,,,,,,objects,,objects
825,hunting trophy,hunting trophy,547.0,40,7.0,trophy,otherprop,Objects,,,,,,,40.0,misc,hunting trophy,misc
826,hutch,hutch,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,hutch,misc
827,ice maker,ice maker,,40,,,otherprop,,,,,,,,,objects,,objects
828,icebox,icebox,17.0,24,6.0,refridgerator,refridgerator,Furniture,,,,,n04070727,refrigerator.n.01,37.0,appliances,icebox,appliances
829,identifier,identifier,478.0,40,,id card,otherprop,,,,,,,,,misc,,misc
830,information,information,,40,,,otherprop,,,,,,,,,misc,,misc
831,installation,installation,,40,,,otherprop,,,,,,,,,objects,,objects
832,instrument,instrument,,40,,,otherprop,,,,,,,,,objects,,objects
833,iron,iron,572.0,40,,clothing iron,otherprop,,,,,,,,,objects,,objects
834,iron board,iron board,408.0,38,7.0,board,otherstructure,Objects,,,,,,,40.0,misc,iron board,misc
835,ironing board,ironing board,313.0,39,6.0,ironing board,otherfurniture,Furniture,,,,,n03586090,ironing_board.n.01,39.0,objects,ironing board,objects
836,island,island,456.0,38,7.0,kitchen island,otherstructure,Objects,,,,,n03620600,kitchen_island.n.01,26.0,counter,island,counter
837,jacket,jacket,324.0,40,7.0,jacket,otherprop,Objects,,,,,n03589791,jacket.n.01,38.0,clothes,jacket,clothes
838,jacuzzi,jacuzzi,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,jacuzzi,misc
839,jar,jar,70.0,40,7.0,jar,otherprop,Objects,,,jar,3593526.0,n03593526,jar.n.01,39.0,objects,jar,objects
840,jars,jars,70.0,40,,jar,otherprop,,,,,,,,,objects,,objects
841,jewelry,jewellery,,40,,,otherprop,,,,,,,,,objects,,objects
842,jewelry box,jewelry box,26.0,29,7.0,box,box,Objects,,,,,,,40.0,misc,jewelry box,misc
843,jug,jug,687.0,40,7.0,jug,otherprop,Objects,bottle,,bottle,2876657.0,n03603722,jug.n.01,39.0,objects,jug,objects
844,junk,junk,,40,7.0,,otherprop,Objects,,,,,n14857897,debris.n.01,39.0,objects,junk,objects
845,keg,keg,,40,,,otherprop,,,,,,,,,objects,,objects
846,kettle,kettle,16.0,40,7.0,pot,otherprop,Objects,,,,,n03612814,kettle.n.01,39.0,objects,kettle,objects
847,keyboard,keyboard,47.0,40,7.0,keyboard,otherprop,Objects,keyboard,,computer keyboard,3085013.0,n03085013,computer_keyboard.n.01,39.0,objects,keyboard,objects
848,keyboard box,keyboard box,47.0,29,,keyboard,box,,,,,,,,,objects,,objects
849,keyboard cover,keyboard case suit,47.0,40,,keyboard,otherprop,,,,,,,,,objects,,objects
850,keyboard piano,keyboard piano,298.0,39,6.0,piano,otherfurniture,Furniture,piano,,piano,3928116.0,n03928116,piano.n.01,39.0,objects,keyboard piano,objects
851,keyboard stand,keyboard stand,50.0,40,,stand,otherprop,,,,,,,,,objects,,objects
852,keys,keys,378.0,40,,key,otherprop,,,,,,,,,objects,,objects
853,kitchen appliance,kitchen appliance,,40,7.0,,otherprop,Objects,,,,,n03620052,kitchen_appliance.n.01,37.0,appliances,kitchen appliance,appliances
854,kitchen cabinet,kitchen cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,,,n02933112,cabinet.n.01,7.0,cabinet,kitchen cabinet,cabinet
855,kitchen cabinet door,kitchen cabinet door,28.0,8,12.0,door,door,Wall,door,,,,,,,cabinet,,cabinet
856,kitchen cabinet drawer,kitchen cabinet drawer,174.0,39,,drawer,otherfurniture,,,,,,,,,cabinet,,cabinet
857,kitchen cabinet lower,kitchen cabinet lower,3.0,3,6.0,cabinet,cabinet,Furniture,,,,,,,,cabinet,,cabinet
858,kitchen ceiling,kitchen ceiling,4.0,22,3.0,ceiling,ceiling,Ceiling,,,,,n02990373,ceiling.n.01,17.0,ceiling,kitchen ceiling,ceiling
859,kitchen chair,kitchen chair,5.0,5,,chair,chair,,,,,,,,,chair,,chair
860,kitchen counter,kitchen counter,7.0,12,6.0,counter,counter,Furniture,table,table,table,4379243.0,n03116530,counter.n.01,26.0,counter,kitchen counter,counter
861,kitchen counter item,kitchen coutertop item,253.0,40,,kitchen items,otherprop,,,,,,,,,objects,,objects
862,kitchen counter support,kitchen counter support leg,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,kitchen counter support,misc
863,kitchen countertop item,kitchen countertop item,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,kitchen countertop item,misc
864,kitchen countertop items,kitchen countertop items,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,kitchen countertop items,misc
865,kitchen decoration,kitchen decoration,,40,7.0,,otherprop,Objects,,,,,n03169390,decoration.n.01,39.0,objects,kitchen decoration,objects
866,kitchen extractor,kitchen extractor,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,kitchen extractor,misc
867,kitchen gloves,kitchen glowes,729.0,40,,glove,otherprop,,,,,,,,,objects,,objects
868,kitchen handle,kitchen handle,758.0,40,7.0,handle,otherprop,Objects,,,,,n03485997,handle.n.01,39.0,objects,kitchen handle,objects
869,kitchen island,kitchen island,456.0,38,7.0,kitchen island,otherstructure,Objects,,,,,n03620600,kitchen_island.n.01,26.0,counter,kitchen island,counter
870,kitchen knife set,kitchen knife set,259.0,40,,knife,otherprop,,,,,,,,,objects,,objects
871,kitchen lower cabinet,kitchen lower cabinet,3.0,3,6.0,cabinet,cabinet,Furniture,,,cabinet,2933112.0,n02933112,cabinet.n.01,7.0,cabinet,kitchen lower cabinet,cabinet
872,kitchen lower shelf,kitchen lower shelf,42.0,15,,shelves,shelves,,,,,,,,,shelving,,shelving
873,kitchen seating,kitchen sitting,5.0,5,,chair,chair,,,,,,,,,seating,,seating
874,kitchen shelf,kitchen shelf,42.0,15,6.0,shelves,shelves,Furniture,,,,,n04190052,shelf.n.01,31.0,shelving,kitchen shelf,shelving
875,kitchen sink,kitchen sink,24.0,34,,sink,sink,,,,,,,,,sink,,sink
876,kitchen sink cabinet,kitchen sink cabinet,3.0,3,,cabinet,cabinet,,,,,,,,,cabinet,,cabinet
877,kitchen table,kitchen table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n03620967,kitchen_table.n.01,5.0,table,kitchen table,table
878,kitchen top,kitchen top,7.0,12,6.0,counter,counter,Furniture,,,,,n03118245,countertop.n.01,26.0,counter,kitchen top,counter
879,kitchen towel,kitchen towel,135.0,27,,towel,towel,,,,,,,,,objects,,objects
880,kitchen utensil,kitchen utensils,267.0,40,7.0,utensil,otherprop,Objects,,,,,n03621049,kitchen_utensil.n.01,39.0,objects,kitchen utensil,objects
881,kitchen utensils,kitchen tools,753.0,40,,kitchen utensils,otherprop,,,,,,,,,objects,,objects
882,kitchen wall,kitchen wall,21.0,1,12.0,wall,wall,Wall,,,,,n04546855,wall.n.01,1.0,wall,kitchen wall,wall
883,kitchenware,kitchenware,753.0,40,,kitchen utensils,otherprop,,,,,,,,,objects,,objects
884,knife,knife,259.0,40,7.0,knife,otherprop,Objects,,,knife,3624134.0,n03624134,knife.n.02,39.0,objects,knife,objects
885,knife holder,knive holder,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,knife holder,misc
886,knife set,knife set,259.0,40,,knife,otherprop,,,,,,,,,objects,,objects
887,knife stand,knife stand,258.0,40,,knife rack,otherprop,,,,,,,,,objects,,objects
888,knob,knob,652.0,40,7.0,knob,otherprop,Objects,,,,,,,40.0,misc,knob,misc
889,l-shaped sofa,l shape sofa,83.0,6,9.0,sofa,sofa,Sofa,sofa,sofa,sofa,4256520.0,n04256520,sofa.n.01,10.0,sofa,l-shaped sofa,sofa
890,lace doily,lace doily,892.0,40,,doily,otherprop,,,,,,,,,objects,,objects
891,ladder,ladder,48.0,39,6.0,ladder,otherfurniture,Furniture,stairs,,,,n03632277,ladder.n.01,16.0,stairs,ladder,stairs
892,lamp,lamp,144.0,35,7.0,lamp,lamp,Objects,lamp,,lamp,3636649.0,n03636649,lamp.n.02,28.0,lighting,lamp,lighting
893,lamp shade,lamp shade,859.0,40,7.0,lamp shade,otherprop,,,,,,,,,lighting,,lighting
894,lamp stand,lamp stand,50.0,39,6.0,stand,otherfurniture,Furniture,,,,,,,40.0,misc,lamp stand,misc
895,lamp table,lamp table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,lamp table,table
896,lampshade,lampshade,859.0,40,7.0,lamp shade,otherprop,Objects,,,,,n03637318,lampshade.n.01,28.0,lighting,lampshade,lighting
897,landing,landing,,40,7.0,,otherprop,Objects,,,,,n03638511,landing.n.01,2.0,floor,landing,floor
898,lantern,lantern,144.0,35,7.0,lamp,lamp,,,,,,,,,lighting,,lighting
899,laptop,laptop,37.0,40,7.0,laptop,otherprop,Objects,laptop,,laptop,3642806.0,n03642806,laptop.n.01,39.0,objects,laptop,objects
900,laundry,laundry,,40,7.0,,otherprop,Objects,,,,,n03648219,laundry.n.01,38.0,clothes,laundry,clothes
901,laundry bag,laundrybag,55.0,37,7.0,bag,bag,Objects,,,,,,,40.0,misc,laundry bag,misc
902,laundry basket,laundry basket,164.0,40,7.0,laundry basket,otherprop,Objects,,,basket,2801938.0,n03050864,clothes_hamper.n.01,39.0,objects,laundry basket,objects
903,laundry machine,laundary machines,220.0,40,7.0,machine,otherprop,Objects,,,,,,,40.0,misc,laundry machine,misc
904,lawn,lawn,,38,,,otherstructure,,,,,,,,,floor,,floor
905,lawn mower,lawn mower,,40,,,otherprop,,,,,,,,,objects,,objects
906,leaflets,leaflet,534.0,36,,paper bundle,bath tub,,,,,,,,,objects,,objects
907,led tv,led tv,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,led  tv,misc
908,ledge,ledge,,38,7.0,,otherstructure,Objects,,,,,n09337253,ledge.n.01,39.0,objects,ledge,objects
909,leg rest,leg rest,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,leg rest,misc
910,level,level,,40,,,otherprop,,,,,,,,,objects,,objects
911,lid,lid,533.0,40,7.0,lid,otherprop,Objects,,,,,,,40.0,misc,lid,misc
912,light,light,144.0,35,7.0,lamp,lamp,Objects,lamp,,lamp,3636649.0,n03636649,lamp.n.02,28.0,lighting,light,lighting
913,light fixture,light fixture,62.0,38,7.0,light,otherstructure,Objects,,,,,n03665366,light.n.02,28.0,lighting,light fixture,lighting
914,light switch,light switch,301.0,38,7.0,light switch,otherstructure,Objects,,,,,n04372370,switch.n.01,39.0,objects,light switch,objects
915,lighter,lighter,,40,,,otherprop,,,,,,,,,objects,,objects
916,lighting fixture,lighting fixture,,40,7.0,,otherprop,Objects,,,,,n03667380,lighting_fixture.n.01,39.0,objects,lighting fixture,objects
917,liquid,liquid,,40,,,otherprop,,,,,,,,,misc,,misc
918,liquid cleaner,liquid cleaner,548.0,40,,cleaner,otherprop,,,,,,,,,objects,,objects
919,liquid container,liquid container,140.0,40,,container,otherprop,,,,,,,,,objects,,objects
920,liquid soap,liquid soap,133.0,40,7.0,soap,otherprop,Objects,,,,,,,40.0,misc,liquid soap,misc
921,locker,locker,3.0,3,6.0,cabinet,cabinet,Furniture,,,,,n02933462,cabinet.n.03,40.0,misc,locker,misc
922,lounge chair,lounge chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n03262932,easy_chair.n.01,3.0,chair,lounge chair,chair
923,lounger,launger,5.0,5,,chair,chair,,,,,,,,,seating,,seating
924,lower cabinet,lower cabinet,3.0,3,,cabinet,cabinet,,,,,,,,,cabinet,,cabinet
925,luggage,suitcase,783.0,40,7.0,luggage,otherprop,Objects,,,,,n02774630,baggage.n.01,39.0,objects,luggage,objects
926,machine,machine,220.0,40,7.0,machine,otherprop,Objects,,,,,n03699975,machine.n.01,39.0,objects,machine,objects
927,magazine,magazine,71.0,40,7.0,magazine,otherprop,Objects,,,,,n06595351,magazine.n.01,39.0,objects,magazine,objects
928,magazine rack,magazine rack,468.0,40,,magazine holder,otherprop,,,,,,,,,misc,,misc
929,magazines,magazines,71.0,40,,magazine,otherprop,,,,,,,,,objects,,objects
930,magic marker,magic marker,,40,,,otherprop,,,,,,,,,objects,,objects
931,magic marker box,magic marker box,190.0,29,,pen box,box,,,,,,,,,objects,,objects
932,mail,mail,843.0,26,,envelopes,paper,,,,,,,,,objects,,objects
933,mailbox,mailbox,153.0,40,,mailshelf,otherprop,,,,,,,,,objects,,objects
934,makeup accessories,make up accesories,121.0,40,,makeup brush,otherprop,,,,,,,,,objects,,objects
935,mannequin,mannequin,,40,,,otherprop,,,,,,,,,objects,,objects
936,mantel,fireplace counter,58.0,38,7.0,mantel,otherstructure,Objects,mantel,,,,n03719343,mantel.n.01,27.0,fireplace,mantel,fireplace
937,mantle,mantle,874.0,38,7.0,mantle,otherstructure,Objects,mantel,,,,n03719343,mantel.n.01,27.0,fireplace,mantle,fireplace
938,map,map,107.0,40,,map,otherprop,,,,,,,,,objects,,objects
939,mascot,mascot,,40,,,otherprop,,,,,,,,,objects,,objects
940,mascots,mascots,,40,,,otherprop,,,,,,,,,objects,,objects
941,massage bed,massage bed,157.0,4,1.0,bed,bed,Bed,bed,bed,bed,2818832.0,n02818832,bed.n.01,11.0,bed,massage bed,bed
942,mat,mat,143.0,20,5.0,floor mat,floor mat,Floor,,,,,n03727837,mat.n.01,2.0,floor,mat,floor
943,material,material,,40,,,otherprop,,,,,,,,,misc,,misc
944,measuring tape,measuring tape,109.0,40,,tape,otherprop,,,,,,,,,objects,,objects
945,medal,medal,776.0,40,,medal,otherprop,,,,,,,,,objects,,objects
946,medal collection,medal collection,776.0,40,,medal,otherprop,,,,,,,,,objects,,objects
947,media console,media console,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,media console,misc
948,medical lamp,medical lamp,144.0,35,,lamp,lamp,,,,,,,,,lighting,,lighting
949,medical object,medical object,,40,,,otherprop,,,,,,,,,objects,,objects
950,menu,menu,,40,,,otherprop,,,,,,,,,objects,,objects
951,menu board,menu board,408.0,40,,board,otherprop,,,,,,,,,objects,,objects
952,meshwork,meshwork,,40,,,otherprop,,,,,,,,,misc,,misc
953,meter,meter,639.0,40,,scale,otherprop,,,,,,,,,misc,,misc
954,microphone,microphone,818.0,40,,microphone,otherprop,,,,,,,,,objects,,objects
955,microphone accessory,microphone accesory,821.0,40,,microphone stand,otherprop,,,,,,,,,objects,,objects
956,microwave,microwave,13.0,40,7.0,microwave,otherprop,Objects,,,microwave,3761084.0,n03761084,microwave.n.02,37.0,appliances,microvawe,appliances
957,mini fridge,mini fridge,17.0,24,6.0,refridgerator,refridgerator,Furniture,,,,,n03273913,electric_refrigerator.n.01,37.0,appliances,mini fridge,appliances
958,mirror,mirror,122.0,19,7.0,mirror,mirror,Objects,,,,,n03773035,mirror.n.01,21.0,mirror,bathroom mirror,mirror
959,mirror /otherroom,mirror /otherroom,122.0,19,7.0,mirror,mirror,Objects,,,,,n03773035,mirror.n.01,21.0,mirror,mirror /otherroom,mirror
960,mirror door,mirror door,28.0,8,12.0,door,door,Wall,door,,,,,,40.0,misc,mirror door,misc
961,mirror frame,mirrorframe,122.0,19,7.0,mirror,mirror,Objects,,,,,n03773035,mirror.n.01,21.0,mirror,mirror frame,mirror
962,mixer,mixer,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,mixer,misc
963,mobile,mobile,290.0,40,,cell phone,otherprop,,,,,,,,,objects,,objects
964,model,model,,40,,,otherprop,,,,,,,,,objects,,objects
965,modem,modem,91.0,40,,modem,otherprop,,,,,,,,,objects,,objects
966,molding,moulding,,38,7.0,,otherstructure,Objects,,,,,n02800354,baseboard.n.01,1.0,wall,molding,wall
967,monitor,monitor,49.0,40,7.0,monitor,otherprop,Objects,monitor,monitor,tv or monitor,3211117.0,n03782190,monitor.n.04,22.0,tv_monitor,monitor,tv_monitor
968,moose head/sculpture/hunting trophy,moose head / sculpture / hunting trophy,547.0,40,7.0,trophy,otherprop,Objects,,,,,,,40.0,misc,moose head/sculpture/hunting trophy,misc
969,mop,mop,,40,,,otherprop,,,,,,,,,objects,,objects
970,mortar,mortar,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,mortar,misc
971,motion detector,motion detector,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,motion detector,misc
972,motorcycle,motorcycle,,40,7.0,,otherprop,Objects,,,motorcycle,3790512.0,n03790512,motorcycle.n.01,39.0,objects,motorcycle,objects
973,mouse,mouse,103.0,40,7.0,mouse,otherprop,Objects,,,,,n03793489,mouse.n.04,39.0,objects,mouse,objects
974,mousepad,mousepad,539.0,40,,mouse pad,otherprop,,,,,,,,,objects,,objects
975,mug,mug,35.0,40,,cup,otherprop,,,,,,,,,objects,,objects
976,music album shelf,music album shelf,42.0,15,,shelves,shelves,,,,,,,,,shelving,,shelving
977,music equipment,musical equipment,,40,,,otherprop,,,,,,,,,objects,,objects
978,music equipment stand,music stand,820.0,40,,music stand,otherprop,,,,,,,,,objects,,objects
979,music player,music player,,40,,,otherprop,,,,,,,,,objects,,objects
980,napkin,napkin,244.0,40,,napkin,otherprop,,,,,,,,,objects,,objects
981,napkins,napkins,244.0,40,,napkin,otherprop,,,,,,,,,objects,,objects
982,newspaper,newspaper,873.0,40,7.0,newspapers,otherprop,Objects,,,,,,,40.0,misc,newspaper,misc
983,newspaper basket,newspaper basket,39.0,40,7.0,basket,otherprop,Objects,,,basket,2801938.0,n02801938,basket.n.01,39.0,objects,newspaper basket,objects
984,niche,niche,,40,,,otherprop,,,,,,,,,wall,,wall
985,night lamp,night lamp,144.0,35,,lamp,lamp,,,,,,,,,lighting,,lighting
986,nightstand,nightstand,158.0,32,6.0,night stand,night stand,Furniture,night_stand,night_stand,,,n03015254,chest_of_drawers.n.01,13.0,chest_of_drawers,nighstand,chest_of_drawers
987,note,note,438.0,40,,notecards,otherprop,,,,,,,,,objects,,objects
988,note board,noticeboard,408.0,40,,board,otherprop,,,,,,,,,objects,,objects
989,notebook,notebook,210.0,23,,notebook,books,,,,,,,,,objects,,objects
990,notebooks,notebooks,210.0,23,,notebook,books,,,,,,,,,objects,,objects
991,notes,notes,438.0,40,,notecards,otherprop,,,,,,,,,objects,,objects
992,oar,oar,,40,,,otherprop,,,,,,,,,objects,,objects
993,object,object,,40,7.0,,otherprop,Objects,,,,,n00002684,object.n.01,39.0,objects,object,objects
994,objects,bathroom countertop objects,,40,7.0,,otherprop,Objects,,,,,n00002684,object.n.01,39.0,objects,objects,objects
995,office chair,office chair,5.0,5,4.0,chair,chair,Chair,chair,chair,chair,3001627.0,n04373704,swivel_chair.n.01,3.0,chair,affice chair,chair
996,office table,office table,19.0,7,10.0,table,table,Table,table,table,table,4379243.0,n04379243,table.n.02,5.0,table,office table,table
997,office wall,office wall,21.0,1,12.0,wall,wall,Wall,,,,,,,,wall,,wall
998,oil lamp,oil lamp,144.0,35,7.0,lamp,lamp,Objects,lamp,,lamp,3636649.0,n03636649,lamp.n.02,28.0,lighting,oil lamp,lighting
999,ornament,ornament,,40,7.0,,otherprop,Objects,,,,,n03169390,decoration.n.01,39.0,objects,ornament,objects
1000,ottoman,ottoman,359.0,39,6.0,ottoman,otherfurniture,Furniture,stool,,,,n03380724,footstool.n.01,19.0,stool,ottoman,stool
1001,outlet,outlet,,40,7.0,,otherprop,Objects,,,,,n04548771,wall_socket.n.01,39.0,objects,outlet,objects
1002,oven,oven,238.0,38,7.0,oven,otherstructure,Objects,,,,,n03862676,oven.n.01,37.0,appliances,oven,appliances
1003,oven and stove,oven and stove,242.0,38,7.0,stove,otherstructure,Objects,,,stove,4330267.0,,,40.0,misc,oven and stove,misc
1004,oven vent,oven vent,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,oven vent,misc
1005,overhang,overhang,,40,7.0,,otherprop,Objects,,,,,n03864356,overhang.n.01,40.0,misc,overhang,misc
1006,package,package,26.0,29,,box,box,,,,,,,,,objects,,objects
1007,pad,pad,,40,7.0,,otherprop,Objects,,,,,n03195485,diggings.n.02,40.0,misc,pad,misc
1008,painting,paining,64.0,11,8.0,picture,picture,Picture,,,,,n03876519,painting.n.01,39.0,objects,painiting,objects
1009,painting /otherroom,painting/other room,64.0,11,8.0,picture,picture,Picture,,,,,n03876519,painting.n.01,39.0,objects,painting /otherroom,objects
1010,painting frame,painting frame,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,painting  frame,misc
1011,painting roll,painting roll,,40,,,otherprop,,,,,,,,,objects,,objects
1012,painting rolls,painting rolls,,40,,,otherprop,,,,,,,,,objects,,objects
1013,painting stuff,painting stuff,,40,,,otherprop,,,,,,,,,objects,,objects
1014,painting tray,painting tray,179.0,40,,tray,otherprop,,,,,,,,,objects,,objects
1015,pan,pan,589.0,40,7.0,pan,otherprop,Objects,,,,,n03880531,pan.n.01,39.0,objects,pan,objects
1016,panel,panel,559.0,40,7.0,sheet,otherprop,Objects,,,,,n03882058,panel.n.01,35.0,board_panel,panel,board_panel
1017,panel screen,panel screen,,40,7.0,,otherprop,Objects,,,,,,,40.0,misc,panel screen,misc
1018,paneling,wainscotting,21.0,1,12.0,wall,wall,Wall,,,,,n03882611,paneling.n.01,1.0,wall,paneling,wall
1019,pantry,pantry,,38,7.0,,otherstructure,Objects,,,,,n03885535,pantry.n.01,40.0,misc,pantry,misc
